environment: procgen:procgen-heist-v0
random_seed: 0
number_generations: 200
optimizer
	type: MU_ES
	hof_size: 10
	checkpoint_frequency: 10
	initial_gene_range: 2
	tournsize: 0
	mu: 10
	extra_from_hof: 1
	lambda_: 500
	mutpb: 0.8
	efficiency_weight: 0.0
	fix_seed_for_generation: True
	strategy_parameter_per_gene: False
brain
	type: CNN_CTRNN
	normalize_input: False
	normalize_input_target: 0.0
	use_bias: False
	cnn_conf
		type: CNN
		normalize_input: False
		normalize_input_target: 0.0
		use_bias: False
		conv_size1: 5
		conv_feat1: 5
		maxp_size1: 4
		maxp_stride1: 4
		conv_size2: 5
		conv_feat2: 5
		maxp_size2: 4
		maxp_stride2: 1
	ctrnn_conf
		type: CTRNN
		number_neurons: 15
		neuron_activation: relu
		neuron_activation_inplace: False
		use_bias: True
		delta_t: 0.05
		normalize_input: False
		normalize_input_target: 2
		optimize_state_boundaries: global
		clipping_range_max: 1.0
		clipping_range_min: -1.0
		optimize_y0: False
		set_principle_diagonal_elements_of_W_negative: False
		parameter_perturbations: 0.0
		w_mask: logarithmic
		w_mask_param: 8
		v_mask: logarithmic
		v_mask_param: 8
		t_mask: logarithmic
		t_mask_param: 4
episode_runner
	number_fitness_runs: 1
	reuse_env: True
	keep_env_seed_fixed_during_generation: True
	environment_attributes
		type: ProcGenAttr

Genome Size: 2337
Inputs: Box(0.0, 1.0, (64, 64, 3), float16)
Outputs: Discrete(15)
Commit: fc4a3f67210b4227588a20a4d4b33eb00577ce83


--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       510         0.05            0.27            0.00            3.00            
1       510         0.04            0.21            0.00            2.00            
2       510         0.12            0.41            0.00            2.00            
3       510         0.10            0.38            0.00            2.00            
4       510         0.27            0.47            0.00            2.00            
5       510         0.10            0.30            0.00            2.00            
6       510         0.21            0.44            0.00            2.00            
7       510         0.06            0.26            0.00            2.00            
8       510         0.08            0.29            0.00            2.00            
9       510         0.05            0.31            0.00            4.00            
10      510         0.25            0.73            0.00            4.00            
11      510         0.08            0.30            0.00            3.00            
12      510         0.22            0.51            0.00            3.00            
13      510         0.15            0.47            0.00            3.00            
14      510         0.17            0.58            0.00            3.00            
15      510         0.30            0.68            0.00            3.00            
16      510         0.27            0.65            0.00            3.00            
17      510         0.22            0.50            0.00            2.00            
18      510         0.31            0.86            0.00            4.00            
19      510         0.19            0.60            0.00            4.00            
20      510         0.20            0.53            0.00            3.00            
21      510         0.17            0.52            0.00            3.00            
22      510         0.22            0.56            0.00            4.00            
23      510         0.20            0.58            0.00            4.00            
24      510         0.14            0.43            0.00            4.00            
25      510         0.16            0.48            0.00            4.00            
26      510         0.14            0.50            0.00            4.00            
27      510         0.12            0.38            0.00            2.00            
28      510         0.20            0.65            0.00            4.00            
29      510         0.19            0.61            0.00            5.00            
30      510         0.17            0.54            0.00            4.00            
31      510         0.22            0.61            0.00            4.00            
32      510         0.19            0.57            0.00            4.00            
33      510         0.23            0.65            0.00            4.00            
34      510         0.17            0.56            0.00            4.00            
35      510         0.16            0.48            0.00            3.00            
36      510         0.20            0.56            0.00            4.00            
