environment: QbertNoFrameskip-v4
random_seed: 0
number_generations: 100
use_worker_processes: True
optimizer
	type: MU_ES
	hof_size: 20
	checkpoint_frequency: 10
	initial_gene_range: 2
	tournsize: 100
	mu: 20
	extra_from_hof: 0
	lambda_: 1000
	mutpb: 0.8
	efficiency_weight: 0.1
novelty
	behavioral_interval: 1
	behavioral_max_length: 100
	behavior_from_observation: True
	distance: NCD
	max_recorded_behaviors: 30
	recorded_behaviors_per_generation: 3
	novelty_nearest_k: 5
	novelty_weight: 2.0
brain
	type: CTRNN
	number_neurons: 40
	use_bias: True
	neuron_activation: tanh
	neuron_activation_inplace: False
	delta_t: 1.5
	normalize_input: False
	normalize_input_target: 3
	optimize_state_boundaries: global
	clipping_range_max: 1.0
	clipping_range_min: -1.0
	optimize_y0: True
	set_principle_diagonal_elements_of_W_negative: True
	v_mask: logarithmic
	v_mask_param: 16
	w_mask: logarithmic
	w_mask_param: 4
	t_mask: logarithmic
	t_mask_param: 4
	parameter_perturbations: 0.001
episode_runner
	keep_env_seed_fixed_during_generation: True
	number_fitness_runs: 1
	max_steps_per_run: 0
	max_steps_penalty: 0
	reuse_env: True

Genome Size: 4828
Inputs: Box(32, 32)
Outputs: Discrete(6)
Commit: 5bd3ffb0ea8e0d66244f377cbd1b3421ca690ab8


--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       1023        136.25          16.72           125.00          175.00          
1       1026        135.00          12.25           125.00          150.00          
2       1029        142.50          11.46           125.00          150.00          
3       1032        147.50          7.50            125.00          150.00          
4       1035        146.25          8.93            125.00          150.00          
5       1038        148.75          5.45            125.00          150.00          
6       1041        148.75          5.45            125.00          150.00          
7       1044        150.00          0.00            150.00          150.00          
8       1047        148.75          5.45            125.00          150.00          
9       1050        148.75          5.45            125.00          150.00          
10      1053        148.75          5.45            125.00          150.00          
11      1053        148.75          5.45            125.00          150.00          
12      1053        150.00          0.00            150.00          150.00          
13      1053        150.00          0.00            150.00          150.00          
14      1053        150.00          0.00            150.00          150.00          
15      1053        150.00          0.00            150.00          150.00          
16      1053        150.00          0.00            150.00          150.00          
17      1053        150.00          0.00            150.00          150.00          
18      1053        150.00          0.00            150.00          150.00          
19      1053        150.00          0.00            150.00          150.00          
20      1053        150.00          0.00            150.00          150.00          
21      1053        150.00          0.00            150.00          150.00          
22      1053        150.00          0.00            150.00          150.00          
23      1053        150.00          0.00            150.00          150.00          
24      1053        150.00          0.00            150.00          150.00          
25      1053        150.00          0.00            150.00          150.00          
26      1053        150.00          0.00            150.00          150.00          
27      1053        150.00          0.00            150.00          150.00          
28      1053        150.00          0.00            150.00          150.00          
29      1053        150.00          0.00            150.00          150.00          
